Movie,Average_Rating,Positive_Review,Negative_Review
The Last Jedi,1.5558510638297873,28.723404255319153,71.27659574468085
Ready Player One,3.8070707070707073,71.91919191919192,28.08080808080808
Black Panther,3.2191709844559586,61.86528497409326,38.134715025906736
A Wrinkle in Time,2.153125,42.70833333333333,57.291666666666664
Annihilation,3.2015151515151516,56.16161616161616,43.83838383838384
Coco,4.5091093117408905,81.78137651821862,18.218623481781375
Ferdinand,3.718884120171674,73.8197424892704,26.180257510729614
Gods not Dead,3.6666666666666665,73.33333333333333,26.666666666666668
Jumanji,3.9164133738601823,73.55623100303951,26.443768996960486
Love Simon,4.551660516605166,87.82287822878229,12.177121771217712
Paul Apostle of Christ,4.472602739726027,84.93150684931507,15.068493150684931
Peter Rabbit,3.379496402877698,67.26618705035972,32.73381294964029
Sherlock Gnomes,3.4066666666666667,56.00000000000001,44.0
The Death of Stalin,3.4293193717277486,63.87434554973822,36.12565445026178
The Shape of Water,3.080448065173116,62.42362525458248,37.57637474541752
Tomb Raider,3.6583592938733127,71.65109034267913,28.34890965732087
